mmc_supertype	n	mean_norm_score	pct_fdr10	n_AD	n_ct	pct_AD	odds_ratio_AD	fisher_p	fisher_fdr
Micro-PVM_3-SEAAD	119	1.727827114369748	0.8403361344537815	85	34	71.4	3.3404255319148937	1.596880278729678e-08	6.387521114918712e-08
Micro-PVM_2	277	1.6814866044794223	0.36101083032490977	62	215	22.4	0.14865693167477917	1.4997228910264805e-29	1.1997783128211844e-28
Monocyte	6	1.6580407499999998	0.0	6	0	100.0	inf	0.011790844215099463	0.01886535074415914
Micro-PVM_4-SEAAD	44	1.3226354711363637	0.0	26	18	59.1	1.6213151927437641	0.15944190737635364	0.18221932271583272
Micro-PVM_1	19	1.3154917315789474	0.0	15	4	78.9	4.229508196721311	0.008681358311200984	0.017362716622401967
Micro-PVM_2_1-SEAAD	3	0.9775457	0.0	1	2	33.3	0.542319749216301	1.0	1.0
Lymphocyte	9	0.7597902966666666	0.0	7	2	77.8	3.869009584664537	0.09500535349405409	0.1266738046587388
Micro-PVM_2_3-SEAAD	191	0.6416288616052356	0.0	118	73	61.8	2.2005967720059676	7.573546572576387e-06	2.019612419353703e-05
