grouping	group	n_cell	mean_norm_score	score_q95	assoc_mcp	assoc_mcz	n_fdr_0.1	n_fdr_0.2
mmc_supertype	OPC_2_1-SEAAD	364	-0.5685240626335144	1.2892587	0.8591408591408591	-1.0805998	0	0
mmc_supertype	Vip_23	25	-0.5287050008773804	0.8717848	0.8731268731268731	-1.1195565	0	0
mmc_supertype	Astro_5	128	-0.30691981315612793	1.2975788	0.8641358641358642	-1.1265832	0	0
mmc_supertype	Oligo_3	185	0.02750685065984726	1.3374053	0.9460539460539461	-1.5816948	0	0
mmc_supertype	OPC_2	955	-0.5282253623008728	1.1476325	0.98001998001998	-1.8897033	0	0
mmc_supertype	OPC_2_2-SEAAD	50	-0.5645151138305664	0.78364396	0.98001998001998	-1.9356011	0	0
author_cellType	mg	449	1.8013280630111694	3.7481136	0.000999000999000999	5.6859465	2	37
author_cellType	doublet	405	0.048971179872751236	2.0406156	0.008991008991008992	2.39245	0	0
author_cellType	unID	925	0.08705250173807144	1.9534506	0.014985014985014986	2.1910303	0	2
author_cellType	oligo	7432	0.04089847579598427	1.7723304	0.18281718281718282	0.87085485	0	5
author_cellType	neuron	656	-0.036510393023490906	1.5149783	0.6823176823176823	-0.45680693	0	0
author_cellType	endo	98	-0.23169085383415222	1.3434287	0.6983016983016983	-0.6010341	0	0
author_cellType	astro	2171	-0.23262789845466614	1.4776609	0.7722277722277723	-0.7500219	0	0
author_cellType	OPC	1078	-0.61356121301651	1.0222969	0.987012987012987	-2.0153577	0	0
leiden	10	550	1.644878625869751	3.5817304	0.000999000999000999	5.7596145	2	38
leiden	16	43	0.7481255531311035	2.3651304	0.01898101898101898	2.1256714	0	0
leiden	4	2055	0.22954320907592773	1.9437487	0.054945054945054944	1.6437621	0	3
leiden	13	339	-0.07268653064966202	1.9152852	0.0999000999000999	1.372266	0	0
leiden	15	322	0.24388378858566284	1.8799894	0.14385614385614387	1.0454662	0	1
leiden	3	55	0.11292547732591629	1.9494673	0.15584415584415584	1.0231278	0	0
leiden	11	1980	0.11347506940364838	1.8231666	0.16483516483516483	0.975295	0	1
leiden	1	370	0.16991715133190155	1.8621424	0.17682317682317683	0.91397446	0	0
leiden	12	226	-0.12760727107524872	1.7060308	0.37962037962037964	0.27978113	0	0
leiden	14	205	0.0011082068085670471	1.6236715	0.4825174825174825	-0.014831968	0	0
leiden	5	681	-0.045376554131507874	1.5952191	0.5644355644355644	-0.20179826	0	0
leiden	0	593	-0.1715487539768219	1.6035023	0.6953046953046953	-0.50019705	0	0
leiden	2	356	-0.058406177908182144	1.4484335	0.6933066933066933	-0.53123236	0	0
leiden	9	136	-0.20311513543128967	1.2621211	0.8231768231768232	-0.92365	0	0
leiden	6	1435	-0.35057708621025085	1.319183	0.9040959040959041	-1.269198	0	0
leiden	8	2723	-0.12377467006444931	1.4670055	0.945054945054945	-1.5904763	0	1
leiden	7	1145	-0.6169780492782593	0.9560049	0.994005994005994	-2.2709322	0	0
