scope	state	n_cells	threshold_q75	mean_high	mean_other	mannwhitney_p	spearman_rho	spearman_p	fdr
all nuclei	Mic12_score	13214	0.654544575214386	0.07386650106243339	-0.024627136419656904	0.0007250350146205372	0.02174713089612898	0.012421473212204744	0.0010875525219308057
all nuclei	Mic13_score	13214	0.5410363287133658	0.1480462884999213	-0.04935872246339656	6.691732274155664e-15	0.09087950748984533	1.2185224655564816e-25	2.0075196822466994e-14
all nuclei	Ast10_score	13214	0.4534374745686849	-0.032638352641134995	0.010881646288374383	0.9131978552606289	-0.005301365907197012	0.5422923961843628	0.9131978552606289
microglia only	Mic12_score	668	1.1653320962190628	1.4769842991916167	1.2977789392263472	0.04137582322186423	0.17888771529934902	3.2809922952561653e-06	0.06895970536977372
microglia only	Mic13_score	668	1.0267792061071268	1.5916727643880242	1.259549450827545	0.0007386641605806426	0.13988326853731642	0.00028734015064345596	0.003693320802903213
astrocytes only	Ast10_score	2461	1.0008937819798789	-0.11238505511542209	-0.1996611279915989	0.06099756415255085	0.015473462252948213	0.44292058974190407	0.07624695519068855
microglia only, no APOE	Mic12_noAPOE	668	-0.054970893859863285	1.405187593130952	1.3215442217428	0.14429555197815358	-0.027251396789413223	0.4819667713751749	0.14429555197815358
microglia only, no APOE	Mic13_noAPOE	668	0.8817379748821258	1.539259090005988	1.2770206756215567	0.008263642715497909	0.03469125510819414	0.3706749200381522	0.02065910678874477
